Vendor,Vendor Name,Psoft Part Number,MOVE Part Number,Qty OnHand,Status,Type,Stock Type,Weight,Weight UOM,Master Pack Qty,Std Pack Qty
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042906,AS568-113BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042905,AS568-113VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042904,AS568-112FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042903,AS568-112EPDM,500,A,NN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042902,AS568-112BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042901,AS568-112VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042900,AS568-111FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042899,AS568-111EPDM,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042898,AS568-111BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042897,AS568-111VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042896,AS568-110FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042895,AS568-110EPDM,500,A,NN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042894,AS568-110BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042893,AS568-110VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042892,AS568-012FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042891,AS568-012EPDM,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042890,AS568-012BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042889,AS568-012VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042888,AS568-011FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042887,AS568-011EPDM,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042886,AS568-011BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042885,AS568-011VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042884,AS568-010FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042883,AS568-010EPDM,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042882,AS568-010BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042881,AS568-010VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042880,AS568-009FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042879,AS568-009EPDM,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042878,AS568-009BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042877,AS568-009VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042876,AS568-008VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042875,AS568-008FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042874,AS568-008EPDM,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042873,AS568-008BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042872,AS568-007FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042871,AS568-007EPDM,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042870,AS568-007BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042869,AS568-007VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042868,AS568-006VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042867,AS568-006FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042866,AS568-006EPDM,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042865,AS568-006BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006040472,RAW000118 REV 005,250,A,DE,STND,0, ,1,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005969464,780703B03700,6,A,DE,STND,0, ,1,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005967482,647064,18,A,IN,MGD2,0, ,18,18
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005967481,647062,18,A,IN,MGD2,0, ,18,18
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005967480,647061,18,A,IN,MGD2,0, ,18,18
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005967479,647058,36,A,IN,MGD2,0, ,36,36
